sneaker_name,sneaker_brand,collaboration,collaboration_name,sneaker_slug,sneaker_color,data.category,discount_tag,box_condition,product_condition,retail_price_eur,lowest_price_eur,instant_ship_lowest_price_eur,gp_lowest_price_eur,gp_instant_ship_lowest_price_eur,release_year,release_month,release_day
Wmns Zoom 2K 'White Digital Pink',Nike,0,No,wmns-zoom-2k-white-digital-pink-cu2988-166,pink,shoes,over_retail,good_condition,new_no_defects,97.4846880226,75.0,105.4262924194,118.94,129.0953063965,2021,7,15
Wmns Dunk Low Premium 'Rush Fuchsia',Nike,0,No,wmns-dunk-low-premium-rush-fuchsia-dv7415-500,pink,shoes,under_retail,good_condition,new_no_defects,120.0,39.0,42.0,57.74,90.14,2023,7,25
Air Trainer Sc 2 Qs 'White Infrared',Nike,0,No,air-trainer-sc-2-qs-456610-140,white,shoes,over_retail,good_condition,new_no_defects,129.4565038762,400.0,430.3446655273,542.9,657.1371459961,2021,6,15
Air Max 2015 'Obsidian',Nike,0,No,air-max-2015-obsidian-bq7548-400,blue,shoes,over_retail,badly_damaged,used,109.4742616995,120.0,129.6671905518,165.74,191.3248901367,2021,7,15
Wmns Air Prestige Low 'White Grey',Nike,0,No,wmns-air-prestige-low-white-grey-313325-116,white,shoes,over_retail,no_original_box,used,97.2140309512,65.0,60.3276290894,99.74,118.793510437,2021,6,15
Air Safari,Nike,0,No,air-safari-306324-101,white,shoes,over_retail,good_condition,new_no_defects,109.9836720107,300.0,374.2106018066,409.41,491.4791259766,2021,6,15
Wmns Lunarglide 8 'Anthracite Pink',Nike,0,No,wmns-lunarglide-8-anthracite-pink-843726-601,black,shoes,under_retail,good_condition,new_no_defects,120.0,60.0,65.0,93.74,99.74,2021,7,15
Wmns Dunk High 'Team Orange Gum',Nike,0,No,wmns-dunk-high-team-orange-gum-325203-100,white,shoes,over_retail,no_original_box,new_no_defects,90.0,200.0,208.9773406982,212.29,222.3538665771,2021,6,15
Wmns 574 'Black White',Nike,0,No,wmns-574-black-white-wl574fq2,black,shoes,over_retail,good_condition,new_no_defects,90.0,117.0,145.3637237549,147.14,169.4315948486,2021,7,15
Air Max 90 'Triple Red',Nike,0,No,air-max-90-triple-red-cz7918-600,red,shoes,over_retail,good_condition,new_no_defects,120.0,161.0,185.0,233.15,264.26,2020,7,9
Air Zoom Tallac Lite OG,Nike,0,No,air-zoom-tallac-lite-og-844018-002,grey,shoes,over_retail,good_condition,new_with_defects,180.0,140.0,154.4316558838,205.94,226.3105773926,2021,7,15
Air Max Trainer 3 'Black Deep Royal Blue',Nike,0,No,air-max-trainer-3-black-deep-royal-blue-cz3568-001,black,shoes,over_retail,good_condition,new_no_defects,113.0667741625,156.0,155.2220153809,166.42,-164.8009490967,2021,7,15
Wmns Renew Rival 2E Wide 'Black White',Nike,0,No,wmns-renew-rival-2e-wide-black-white-av8457-001,black,shoes,over_retail,good_condition,new_no_defects,94.4641667482,52.0,84.4846496582,91.34,115.163192749,2021,7,15
X-Racer 'Black White',Adidas,0,No,x-racer-black-white-msxrcni,black,shoes,over_retail,good_condition,new_no_defects,147.7404577654,777.0,686.3280639648,1103.5,754.0248413086,2021,7,15
Wmns Renew Run 'Pink Foam',Nike,0,No,wmns-renew-run-pink-foam-cw5637-600,pink,shoes,under_retail,good_condition,new_no_defects,90.0,56.0,60.0,88.94,93.74,2021,4,26
Air Zoom Alphafly NEXT% 3 'Blueprint Pack',Nike,0,No,air-zoom-alphafly-next-3-fp-blueprint-pack-hf7357-900,multi-color,shoes,under_retail,good_condition,new_no_defects,285.0,259.0,326.6973571777,399.29,458.2248535156,2024,7,3
Lunar Flow Woven 'Black',Nike,0,No,lunar-flow-woven-black-504865-001,black,shoes,over_retail,good_condition,new_no_defects,125.0,130.0,307.9345397949,139.32,190.8561096191,2021,7,15
Air Max 90 GORE-TEX 'Infrared',Nike,0,No,air-max-90-gore-tex-infrared-fd5810-101,red,shoes,under_retail,good_condition,new_no_defects,160.0,85.0,97.0,123.74,138.14,2024,1,11
Wmns 247 Classic 'Black',Nike,0,No,wmns-247-classic-black-wrl247sk,black,shoes,under_retail,good_condition,new_no_defects,90.0,82.0,87.9929122925,128.54,158.8642120361,2021,7,15
Air Versitile 4 NBK 'Black Metallic Cool Grey',Nike,0,No,air-versitile-4-nbk-black-metallic-cool-grey-cj6703-001,black,shoes,over_retail,no_original_box,new_no_defects,98.437013994,75.0,84.6809997559,111.74,125.4120635986,2021,7,15
Wmns 247 'Strata',Nike,0,No,wmns-247-strata-wrl247wm,purple,shoes,under_retail,good_condition,new_no_defects,100.0,70.0,85.0346450806,105.74,125.8635406494,2021,7,15
Air Unlimited 'Noble Red',Nike,0,No,air-unlimited-noble-red-854318-661,red,shoes,over_retail,no_original_box,used,93.3852716342,70.0,92.17212677,105.74,119.3253173828,2021,7,15
Air Cage Advantage 'Wolf Grey Atomic Orange',Nike,0,No,air-cage-advantage-wolf-grey-atomic-orange-599360-008,grey,shoes,over_retail,no_original_box,used,79.7436968294,28.0,31.1307067871,55.34,62.3411216736,2021,7,15
Zoom 2K 'Wolf Grey',Nike,0,No,zoom-2k-wolf-grey-ao0269-001,grey,shoes,over_retail,good_condition,used,85.0,87.0,102.5614700317,126.14,167.5202789307,2021,7,15
Footscape Free Premium,Nike,0,No,footscape-free-premium-524154-011,grey,shoes,over_retail,good_condition,new_no_defects,112.6985532617,150.0,159.5373840332,237.98,-107.8365020752,2021,7,15
Air Trainer SC High 'Taupe Grey',Nike,0,No,air-trainer-sc-high-302346-201,grey,shoes,over_retail,good_condition,new_no_defects,130.0,249.0,305.9543151855,347.2,413.2764892578,2021,7,15
Air Trainer Sc High,Nike,0,No,air-trainer-sc-high-302346-031,black,shoes,over_retail,good_condition,new_no_defects,121.3428885265,175.0,203.0518493652,251.3,310.8586730957,2021,6,15
Free Flyknit NSW 'Wolf Grey',Nike,0,No,nsw-gray-free,grey,shoes,over_retail,good_condition,new_no_defects,166.3208487687,5000.0,5400.0,7041.56,7602.68,2021,7,15
Wmns 520v7 'Grey Crimson',Nike,0,No,wmns-520v7-grey-crimson-w520lg7,grey,shoes,over_retail,good_condition,new_no_defects,94.8904239885,40.0,55.4779891968,69.74,85.870803833,2021,7,15
Air Trainer SC 2010 'Auburn Tigers',Nike,0,No,air-trainer-sc-2010-auburn-tigers-386484-101,white,shoes,over_retail,badly_damaged,new_no_defects,156.4176889788,749.0,674.8120117188,995.2,896.6951293945,2021,6,15
501 'Ripple Sole',New Balance,0,No,501-ripple-sole-mz501wxa,red,shoes,under_retail,good_condition,new_no_defects,70.0,65.0,63.8809547424,99.74,120.6876373291,2021,7,15
Wmns Air Jordan 1 Retro High OG 'Dusted Clay',Nike,0,No,wmns-air-jordan-1-retro-high-og-dusted-clay-fq2941-200,brown,shoes,under_retail,good_condition,new_no_defects,200.0,105.0,188.0,135.74,268.15,2024,3,6
Tanjun Racer 'Vast Grey',Nike,0,No,tanjun-racer-vast-grey-921669-005,grey,shoes,over_retail,good_condition,new_no_defects,104.4744946294,188.0,297.2469177246,291.28,434.5904846191,2021,7,15
Wmns Air Jordan 5 Retro 'Dunk on Mars',Nike,0,No,wmns-air-jordan-5-retro-mars-for-her-dd9336-800,red,shoes,under_retail,good_condition,new_no_defects,200.0,81.0,90.0,111.74,139.34,2023,1,14
Air Jordan 1 Mid 'Gym Red Black Toe',Nike,0,No,air-jordan-1-mid-gym-red-black-toe-dq8426-106,white,shoes,under_retail,good_condition,new_no_defects,125.0,74.0,83.0,107.48,118.28,2023,6,20
Wmns Flyknit Lunar 3 'Gamma Blue',Nike,0,No,wmns-flyknit-lunar-3-gamma-blue-698182-406,blue,shoes,under_retail,badly_damaged,new_no_defects,150.0,65.0,85.798500061,99.74,131.545211792,2021,7,15
Zoom 2K 'Volt',Nike,0,No,zoom-2k-volt-ao0269-008,black,shoes,over_retail,good_condition,new_no_defects,85.0,113.0,116.8141937256,164.54,177.4883880615,2021,7,15
Toki Slip Textile,Adidas,0,No,toki-slip-textile-724762-011,black,shoes,over_retail,good_condition,new_no_defects,136.0,2000.0,1238.5474853516,2842.97,1873.1373291016,2021,7,15
Wmns Air Rift 'Desert Camo',Nike,0,No,wmns-air-rift-desert-camo-fj5447-200,brown,shoes,over_retail,good_condition,new_no_defects,105.0,139.0,150.8943481445,148.7,156.104309082,2023,4,19
Wmns Lunartempo 'Black',Nike,0,No,wmns-lunartempo-black-705462-001,black,shoes,over_retail,good_condition,new_no_defects,95.786937983,59.0,71.7487716675,92.54,106.8480148315,2021,7,15
Free 7.0 V2 'Neutral Grey Royal',Nike,0,No,free-7-0-v2-neutral-grey-royal-396046-006,blue,shoes,over_retail,no_original_box,used,89.3613133541,35.0,34.0748519897,63.74,81.3696136475,2021,7,15
Air Trainer 1 Mid Prm Qs 'Infrared',Nike,0,No,air-trainer-1-mid-prm-qs-infrared-607081-100,white,shoes,over_retail,good_condition,new_no_defects,108.8742663537,200.0,224.7718811035,283.7,422.8502807617,2021,6,15
Zoom Speed Racer 6 'Phantom Electric Green',Nike,0,No,zoom-speed-racer-6-phantom-electric-green-749360-001,white,shoes,over_retail,good_condition,new_no_defects,96.4372504198,77.0,83.0,114.14,121.34,2021,6,15
Air Jordan 1 Low 'Alternate Bred Toe',Nike,0,No,air-jordan-1-low-alternate-bred-toe-553558-066,black,shoes,under_retail,good_condition,new_no_defects,110.0,55.0,59.0,76.34,82.34,2021,7,15
Air Trainer Huarache Premium,Nike,0,No,nike-air-trainer-huarache-premium-men-s-shoe-647591-101,white,shoes,over_retail,good_condition,new_no_defects,116.3649855438,450.0,425.837097168,607.7,608.6645507812,2021,6,15
Zoom Lite QS 'White Black Purple',Nike,0,No,zoom-lite-qs-850560-105,white,shoes,under_retail,good_condition,new_no_defects,130.0,102.0,121.8388595581,144.14,268.5042724609,2016,7,8
M574Jrb,New Balance,0,No,m574jrb-m574jrb,red,shoes,over_retail,good_condition,new_no_defects,96.8855310728,75.0,75.6994094849,111.74,132.9479675293,2021,7,15
Wmns Cortez 'Picante Red',Nike,0,No,wmns-cortez-picante-red-dz2795-601,red,shoes,under_retail,good_condition,new_no_defects,90.0,50.0,54.0,81.74,86.54,2024,4,8
Air Unlimited 'Ultramarine',Nike,0,No,air-unlimited-ultramarine-889013-003,black,shoes,over_retail,good_condition,new_no_defects,117.5315890244,285.0,308.0,393.86,423.67,2021,7,15
Alexander McQueen Wmns Oversized Sneaker 'White Orange',Nike,1,Alexander McQueen,alexander-mcqueen-wmns-oversized-sneaker-white-orange-553770-whgp7-9756,white,shoes,over_retail,good_condition,new_no_defects,258.0455415042,516.0,546.2437744141,689.35,699.6582641602,2021,6,15
